sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,heart_rate_bpm
E64-02861,male,mutant,29.8,13.9,normal,146.09334,741.0
E64-02862,male,mutant,29.2,14.6,normal,164.09166,781.0
E64-02863,male,mutant,30.6,15.4,right eye abnormal,154.135,790.0
E64-02864,female,mutant,23.4,14.2,right eye abnormal,146.476,761.0
E64-02865,female,mutant,21.3,14.7,normal,156.24133,755.0
E64-02866,female,mutant,22.9,14.4,normal,151.263,776.0
E64-02887,male,mutant,28.4,14.1,normal,151.26266,762.0
E64-02889,male,mutant,29.1,15.2,right eye abnormal,145.327,752.0
E64-02890,male,mutant,26.4,14.6,normal,168.687,812.0
E64-02891,male,mutant,26.0,14.4,normal,172.70767,755.0
E64-02892,female,mutant,22.2,13.3,normal,106.07533,768.0
E64-02893,female,mutant,21.2,14.9,right eye abnormal,137.28566,815.0
E64-02894,female,mutant,23.1,15.1,normal,176.92033,777.0
E64-02900,female,mutant,22.0,14.9,right eye abnormal,124.07367,800.0
E64-02901,female,mutant,22.2,15.0,normal,131.92433,802.0
064-EPJ77,female,control,22.6,14.2,normal,193.36667,826.0
64S-79628,male,control,22.11,15.3,normal,259.445,747.0
64S-79629,male,control,24.4,15.2,normal,222.108,742.0
64S-79630,male,control,23.5,15.4,normal,229.767,779.0
64S-79631,female,control,19.44,15.5,normal,192.621,758.0
64S-79632,female,control,19.4,15.1,right eye abnormal,188.40834,750.0
64Z-61012,male,control,26.8,14.5,normal,211.16667,704.0
64Z-61014,male,control,27.5,14.9,normal,238.73334,755.0
64Z-61015,male,control,26.4,14.3,normal,297.73334,717.0
64Z-61016,male,control,26.7,14.3,normal,176.16667,728.0
64Z-61018,male,control,26.0,15.2,normal,238.03334,805.0
64Z-61019,male,control,24.8,15.1,normal,197.2,625.0
64Z-61023,female,control,21.6,14.2,normal,219.03334,783.0
64Z-61024,female,control,20.6,14.6,normal,187.63333,716.0
64Z-61025,female,control,21.9,13.8,normal,223.23334,789.0
64Z-61026,female,control,22.8,14.5,normal,173.3,742.0
64Z-61027,female,control,18.6,12.3,normal,214.43333,654.0
64Z-61028,female,control,24.6,14.0,normal,199.33333,676.0
64Z-61029,female,control,21.0,10.6,normal,178.26666,736.0
64Z-61339,male,control,25.6,15.7,normal,209.85367,712.0
64Z-61340,male,control,28.7,14.8,normal,264.998,748.0
64Z-61341,female,control,19.38,14.5,left eye abnormal,212.917,725.0
64Z-61343,female,control,20.55,15.6,normal,217.321,773.0
64Z-61345,male,control,25.03,14.7,normal,280.69833,752.0
64Z-61346,male,control,22.81,14.1,normal,220.959,685.0
64Z-61347,male,control,29.9,14.5,normal,311.7,741.0
64Z-61348,male,control,22.3,13.9,normal,276.5,673.0
64Z-61349,male,control,27.7,14.9,normal,199.7,605.0
64Z-61350,male,control,28.2,13.4,right eye abnormal,203.93333,672.0
64Z-61351,female,control,22.2,14.6,normal,187.26,735.0
64Z-61352,female,control,22.8,14.1,right eye abnormal,168.66667,745.0
64Z-61353,female,control,24.1,14.2,normal,212.56667,759.0
64Z-61354,male,control,29.8,15.2,normal,301.36667,761.0
64Z-61355,male,control,29.8,14.4,normal,226.5,767.0
64Z-61358,female,control,25.0,14.4,normal,150.3,769.0
64Z-61359,female,control,22.4,14.1,left eye abnormal,124.86667,725.0
64Z-61360,female,control,23.8,14.4,normal,129.26666,744.0
64Z-61361,male,control,27.8,13.3,right eye abnormal,211.73334,738.0
81S-01204,female,control,23.6,14.2,normal,202.57767,788.0
81Z-02441,female,control,27.8,13.6,normal,196.312,732.0
81Z-02488,female,control,24.0,13.9,normal,254.65967,768.0
81Z-02489,female,control,23.8,12.1,normal,229.079,808.0
81Z-63769,male,control,29.0,12.2,normal,194.72734,818.0
81Z-63770,male,control,27.0,13.3,normal,223.63966,758.0
81Z-63771,male,control,28.7,14.2,normal,260.01965,801.0
81Z-63772,male,control,27.4,13.7,normal,225.17134,786.0
81Z-63773,male,control,27.9,13.8,normal,204.87534,736.0
81Z-63784,female,control,20.6,13.8,normal,228.235,797.0
81Z-63785,female,control,23.0,14.0,right eye abnormal,179.02667,682.0
81Z-63786,female,control,21.3,13.7,normal,188.21733,688.0
81Z-63787,female,control,24.4,13.4,normal,248.914,746.0
81Z-63788,female,control,22.7,13.1,left eye abnormal,211.00267,776.0
81Z-64188,female,control,25.4,13.6,normal,228.618,804.0
81Z-64189,male,control,25.4,13.7,right eye abnormal,246.99933,737.0
81Z-64190,male,control,27.8,13.4,normal,264.615,742.0
81Z-64191,female,control,21.4,13.6,normal,217.12933,787.0
81Z-64192,male,control,29.5,14.5,left eye abnormal,193.76967,682.0
81Z-64193,male,control,30.7,13.5,normal,244.89333,790.0
81Z-64194,female,control,23.1,13.6,normal,196.64233,780.0
81Z-64195,female,control,22.7,13.1,normal,240.48933,813.0
